Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
252,Gallantt Ispat Ltd ,"Sep 22, 2010","Sep 24, 2010",10,50,50,125,"BSE, NSE","8,100,000 Eq Shares of ₹10 (aggregating up to ₹40.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 11, 2010",Monday,2010,533265,GALLISPAT,B,INE528K01011,NaN,NaN,NaN,NaN,Niche Technologies Pvt. Ltd,NaN,NaN,52,49,87,81.05,75365403,NaN,NaN,NaN,NaN,NaN,48.9,48.8,87.4,81.6,51419283,NaN,NaN,NaN,NaN,NaN
253,Tecpro Systems Ltd ,"Sep 23, 2010","Sep 28, 2010",10,340,355,15,"BSE, NSE","7,550,000 Eq Shares of ₹10 (aggregating up to ₹267.91 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, October 12, 2010",Tuesday,2010,533266,TECPRO,B,INE904H01010,27.99,62.48,9.07,24.47,Link Intime India Private Ltd,NaN,NaN,380,380,453.8,405.7,27878164,NaN,NaN,NaN,NaN,NaN,399.4,398,454.25,407.85,16841428,NaN,NaN,NaN,NaN,NaN
254,Ashoka Buildcon Ltd ,"Sep 24, 2010","Sep 28, 2010",10,297,324,21,"BSE, NSE","6,944,445 Eq Shares of ₹10 (aggregating up to ₹225.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 14, 2010",Thursday,2010,533271,ASHOKA,B,INE442H01029,25.52,13.91,3.46,15.94,Link Intime India Private Ltd,NaN,NaN,342,308.1,362.7,330.75,14586970,NaN,NaN,NaN,NaN,NaN,333.55,312.65,362.3,333.35,8645931,NaN,NaN,NaN,NaN,NaN
255,Cantabil Retail India Ltd ,"Sep 22, 2010","Sep 27, 2010",10,127,135,50,"BSE, NSE","7,777,778 Eq Shares of ₹10 (aggregating up to ₹105.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, October 12, 2010",Tuesday,2010,533267,CANTABIL,B,INE068L01016,1.71,3.83,2.63,2.35,Beetal Financial & Computer Services (P) Limited,NaN,NaN,114.7,101.1,125.9,105,26928537,NaN,NaN,NaN,NaN,NaN,133.8,102.1,133.8,104.75,14609076,NaN,NaN,NaN,NaN,NaN
256,Sea TV Network Ltd ,"Sep 27, 2010","Sep 29, 2010",10,90,100,65,BSE,"5,020,000 Eq Shares of ₹10 (aggregating up to ₹50.20 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 14, 2010",Thursday,2010,533268,NaN,B,INE351L01016,1.66,40.94,7.45,9.58,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,105.05,126.15,106,20734747,NaN,NaN,NaN,NaN,NaN
257,Bedmutha Industries Ltd ,"Sep 28, 2010","Oct 1, 2010",10,95,102,65,"BSE, NSE","9,000,000 Eq Shares of ₹10 (aggregating up to ₹91.80 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 14, 2010",Thursday,2010,533270,BEDMUTHA,B,INE844K01012,0.67,29.19,8.51,7.69,Mondkar Computers Private Limited,NaN,NaN,113.5,98,204,179.15,99370820,NaN,NaN,NaN,NaN,NaN,114.4,98,205,180.8,69762933,NaN,NaN,NaN,NaN,NaN
258,Commercial Engineers & Body Builders Co Ltd ,"Sep 30, 2010","Oct 5, 2010",10,125,127,55,"BSE, NSE","12,047,244 Eq Shares of ₹10 (aggregating up to ₹153.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 18, 2010",Monday,2010,533272,CEBBCO,B,INE209L01016,3.68,0.34,0.38,2.07,KFintech Private Limited,NaN,NaN,119,106.35,142.55,112.9,16224090,NaN,NaN,NaN,NaN,NaN,122.8,106.3,144.8,112.25,11458900,NaN,NaN,NaN,NaN,NaN
259,Oberoi Realty Ltd ,"Oct 6, 2010","Oct 8, 2010",10,253,260,20,"BSE, NSE","39,562,000 Eq Shares of ₹10 (aggregating up to ₹1,028.61 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, October 20, 2010",Wednesday,2010,533273,OBEROIRLTY,B,INE093I01010,22.15,3.61,0.94,12.13,Link Intime India Private Ltd,NaN,NaN,271.1,271.1,299,282.9,41372574,NaN,NaN,NaN,NaN,NaN,280,269.8,299,282.95,24222992,NaN,NaN,NaN,NaN,NaN
260,BS Transcomm Ltd ,"Oct 6, 2010","Oct 13, 2010",10,248,257,25,"BSE, NSE","7,679,410 Eq Shares of ₹10 (aggregating up to ₹190.45 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, October 27, 2010",Wednesday,2010,533276,BSLIMITED,B,INE043K01029,0.52,3.16,1.04,1.1,KFintech Private Limited,NaN,NaN,257,239,398.4,381.25,30016180,NaN,NaN,NaN,NaN,NaN,251,247.8,399,378.5,22935966,NaN,NaN,NaN,NaN,NaN
261,Prestige Estates Projects Ltd ,"Oct 12, 2010","Oct 14, 2010",10,172,183,30,"BSE, NSE","65,573,770 Eq Shares of ₹10 (aggregating up to ₹1,200.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, October 27, 2010",Wednesday,2010,533274,PRESTIGE,B,INE811K01011,4.32,0.24,0.08,2.26,Link Intime India Private Ltd,NaN,NaN,190,188.35,208.8,193.15,24480607,NaN,NaN,NaN,NaN,NaN,190,190,209,192.55,15573821,NaN,NaN,NaN,NaN,NaN
262,Gyscoal Alloys Ltd ,"Oct 13, 2010","Oct 15, 2010",10,65,71,90,"BSE, NSE","7,700,000 Eq Shares of ₹10 (aggregating up to ₹54.67 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, October 27, 2010",Wednesday,2010,533275,GAL,B,INE482J01013,1.54,33.44,8,8.59,Link Intime India Private Ltd,NaN,NaN,75.15,75.15,112.5,81.65,51758463,NaN,NaN,NaN,NaN,NaN,76.6,76.6,112.7,81.55,38807986,NaN,NaN,NaN,NaN,NaN
263,Power Grid Corporation of India Ltd FPO (Power Grid FPO) Detail,"Nov 9, 2010","Nov 12, 2010",10,85,90,65,"BSE, NSE","841,768,246 Eq Shares of ₹10 (aggregating up to ₹7,442.34 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, November 25, 2010",Thursday,2010,532898,POWERGRID,A,INE752E01010,18.52,28.86,3.85,14.88,KFintech Private Limited,NaN,NaN,95,93.3,97.25,96.55,167134095,NaN,NaN,NaN,NaN,NaN,95,94,97.2,96.6,69331463,NaN,NaN,NaN,NaN,NaN
264,Gravita India Ltd ,"Nov 1, 2010","Nov 3, 2010",10,120,125,50,"BSE, NSE","3,600,000 Eq Shares of ₹10 (aggregating up to ₹45.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, November 16, 2010",Tuesday,2010,533282,GRAVITA,B,INE024L01027,6.04,182.52,37.34,42.88,KFintech Private Limited,NaN,NaN,201.1,201.1,253.2,209.7,39539057,NaN,NaN,NaN,NaN,NaN,218.75,205,255,210.4,25358133,NaN,NaN,NaN,NaN,NaN
265,RPP Infra Projects Ltd ,"Nov 18, 2010","Nov 22, 2010",10,68,75,80,"BSE, NSE","6,500,000 Eq Shares of ₹10 (aggregating up to ₹48.75 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, December 6, 2010",Monday,2010,533284,RPPINFRA,B,INE324L01013,0.16,7.27,5.6,2.97,Cameo Corporate Services Limited,NaN,NaN,75,67.2,80.5,68.9,29407319,NaN,NaN,NaN,NaN,NaN,75,67.35,80.4,68.95,20876910,NaN,NaN,NaN,NaN,NaN
266,MOIL Limited ,"Nov 26, 2010","Dec 1, 2010",10,340,375,17,"BSE, NSE","33,600,000 Eq Shares of ₹10 (aggregating up to ₹1,237.51 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, December 15, 2010",Wednesday,2010,533286,MOIL,B,INE490G01020,49.16,143.3,32.86,56.43,KFintech Private Limited,NaN,NaN,565,456.65,590,465.05,65132435,NaN,NaN,NaN,NaN,NaN,551,458.5,591.05,466.5,31568413,NaN,NaN,NaN,NaN,NaN
267,Shipping Corporation of India Ltd FPO (Shipping Corporation FPO) Detail,"Nov 30, 2010","Dec 3, 2010",10,135,140,50,"BSE, NSE","84,690,730 Eq Shares of ₹10 (aggregating up to ₹1,164.73 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, December 15, 2010",Wednesday,2010,523598,SCI,A,INE109A01011,4.19,3.67,6.56,4.92,KFintech Private Limited,NaN,NaN,138,132.25,139,132.6,6721308,NaN,NaN,NaN,NaN,NaN,136.9,132.15,138,132.45,2328202,NaN,NaN,NaN,NaN,NaN
268,Claris Lifesciences Limited ,"Nov 24, 2010","Dec 2, 2010",10,228,235,22,BSE,"12,632,477 Eq Shares of ₹10 (aggregating up to ₹300.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, December 20, 2010",Monday,2010,533288,NaN,B,INE562G01018,1.31,2.03,1.6,1.5,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224.4,198.1,227.9,205.85,15448775,NaN,NaN,NaN,NaN,NaN
269,Ravi Kumar Distilleries Ltd ,"Dec 8, 2010","Dec 10, 2010",10,56,64,100,"BSE, NSE","11,500,000 Eq Shares of ₹10 (aggregating up to ₹73.60 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, December 27, 2010",Monday,2010,533294,RKDL,B,INE722J01012,0.15,7.31,3.01,2.22,KFintech Private Limited,NaN,NaN,72,72,91,80.05,72966002,NaN,NaN,NaN,NaN,NaN,64,64,90.3,80.05,44333385,NaN,NaN,NaN,NaN,NaN
270,A2Z Maintenance & Engineering Services Ltd ,"Dec 8, 2010","Dec 10, 2010",10,400,410,15,"BSE, NSE","16,876,569 Eq Shares of ₹10 (aggregating up to ₹675.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, December 23, 2010",Thursday,2010,533292,A2ZINFRA,B,INE619I01012,0.68,3.12,0.33,0.96,Link Intime India Private Ltd,NaN,NaN,500,318.6,500,328.55,30723793,NaN,NaN,NaN,NaN,NaN,390,318.65,398.9,328.9,21416595,NaN,NaN,NaN,NaN,NaN
271,Punjab & Sind Bank ,"Dec 13, 2010","Dec 16, 2010",10,113,120,50,"BSE, NSE","40,000,000 Eq Shares of ₹10 (aggregating up to ₹470.82 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, December 30, 2010",Thursday,2010,533295,PSB,B,INE608A01012,49.8,85.84,44.45,50.75,Link Intime India Private Ltd,NaN,NaN,144,126.2,146.7,127.15,56675232,NaN,NaN,NaN,NaN,NaN,146.1,126.2,149.7,127.05,25421928,NaN,NaN,NaN,NaN,NaN
272,Shekhawati Poly-Yarn Ltd ,"Dec 27, 2010","Dec 29, 2010",10,30,30,200,"BSE, NSE","12,000,000 Eq Shares of ₹10 (aggregating up to ₹36.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, January 12, 2011",Wednesday,2011,533301,SPYL,B,INE268L01020,NaN,NaN,NaN,NaN,Sharex Dynamic (India) Pvt Ltd,NaN,NaN,50,30.7,69.7,47.5,119347258,NaN,NaN,NaN,NaN,NaN,32.5,30.7,69,47.5,105114233,NaN,NaN,NaN,NaN,NaN
273,C Mahendra Exports Ltd ,"Dec 31, 2010","Jan 6, 2011",10,95,110,60,"BSE, NSE","15,000,000 Eq Shares of ₹10 (aggregating up to ₹165.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, January 20, 2011",Thursday,2011,533304,CMAHENDRA,B,INE378J01013,1.02,3.92,4.82,2.78,Link Intime India Private Ltd,NaN,NaN,114,110,121,110.75,28008310,NaN,NaN,NaN,NaN,NaN,111,110,120.9,110.85,19802382,NaN,NaN,NaN,NaN,NaN
274,Midvalley Entertainment Ltd ,"Jan 10, 2011","Jan 12, 2011",10,64,70,95,BSE,"8,571,429 Eq Shares of ₹10 (aggregating up to ₹60.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, January 27, 2011",Thursday,2011,533310,NaN,B,INE422B01016,0.35,4.68,9.01,4.03,Cameo Corporate Services Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,55,76.5,58.05,33871373,NaN,NaN,NaN,NaN,NaN
275,Tata Steel Ltd FPO (Tata Steel FPO) Detail,"Jan 19, 2011","Jan 21, 2011",10,594,610,10,"BSE, NSE","57,000,000 Eq Shares of ₹10 (aggregating up to ₹3,477.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, February 2, 2011",Wednesday,2011,500470,TATASTEEL,NaN,INE081A01012,10.41,7.21,1.6,6.03,Link Intime India Private Ltd,NaN,NaN,631.1,615.8,634.95,626.25,15400454,NaN,NaN,NaN,NaN,NaN,630.15,615.65,633.85,625.7,3973924,NaN,NaN,NaN,NaN,NaN
276,Omkar Speciality Chemicals Ltd ,"Jan 24, 2011","Jan 27, 2011",10,95,98,60,"BSE, NSE","8,100,000 Eq Shares of ₹10 (aggregating up to ₹79.38 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, February 10, 2011",Thursday,2011,533317,OMKARCHEM,B,INE474L01016,0.82,5.27,9.9,4.67,Bigshare Services Pvt Ltd,NaN,NaN,92,42.05,101,46.45,25168182,NaN,NaN,NaN,NaN,NaN,95,42.5,101,46.2,22466050,NaN,NaN,NaN,NaN,NaN
277,Fineotex Chemical Ltd ,"Feb 23, 2011","Feb 25, 2011",10,60,72,90,BSE,"4,211,160 Eq Shares of ₹10 (aggregating up to ₹29.48 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, March 11, 2011",Friday,2011,533333,FCL,B,INE045J01026,0,0.22,4.38,1.57,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,74.1,157.9,140.9,34514776,NaN,NaN,NaN,NaN,NaN
278,Sudar Garments Ltd ,"Feb 21, 2011","Feb 24, 2011",10,72,77,81,"BSE, NSE","9,088,000 Eq Shares of ₹10 (aggregating up to ₹69.98 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, March 11, 2011",Friday,2011,533332,SUDAR,B,INE384L01017,0.17,4.47,2.27,1.55,Link Intime India Private Ltd,NaN,NaN,80.05,80.05,117.35,113.1,40407612,NaN,NaN,NaN,NaN,NaN,74,74,117.7,113.1,34272888,NaN,NaN,NaN,NaN,NaN
279,Acropetal Technologies Ltd ,"Feb 21, 2011","Feb 24, 2011",10,88,90,60,"BSE, NSE","18,888,889 Eq Shares of ₹10 (aggregating up to ₹170.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 10, 2011",Thursday,2011,533330,ACROPETAL,B,INE055L01013,1.12,2,1.21,1.28,Sharex Dynamic (India) Pvt Ltd,NaN,NaN,92,87.4,140,98.45,56099472,NaN,NaN,NaN,NaN,NaN,130,89,150,98.45,45259641,NaN,NaN,NaN,NaN,NaN
280,Lovable Lingeries Ltd ,"Mar 8, 2011","Mar 11, 2011",10,195,205,30,"BSE, NSE","4,550,000 Eq Shares of ₹10 (aggregating up to ₹93.28 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 24, 2011",Thursday,2011,533343,LOVABLE,B,INE597L01014,21.87,99.87,20.84,35.21,Link Intime India Private Ltd,NaN,NaN,240,240,278.9,249.55,23297573,NaN,NaN,NaN,NaN,NaN,261.5,241.4,278.95,249.2,17266381,NaN,NaN,NaN,NaN,NaN
281,PTC India Financial Services Ltd ,"Mar 16, 2011","Mar 18, 2011",10,26,28,250,"BSE, NSE","156,700,000 Eq Shares of ₹10 (aggregating up to ₹438.76 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, March 30, 2011",Wednesday,2011,533344,PFS,B,INE560K01014,2.85,0.22,1.18,1.7,KFintech Private Limited,NaN,NaN,26.75,23.5,27,24.9,36735853,NaN,NaN,NaN,NaN,NaN,28,23.5,28,24.9,22848585,NaN,NaN,NaN,NaN,NaN
282,Shilpi Cable Technologies Ltd ,"Mar 22, 2011","Mar 25, 2011",10,65,69,79,"BSE, NSE","8,098,762 Eq Shares of ₹10 (aggregating up to ₹55.88 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, April 8, 2011",Friday,2011,533389,SHILPI,B,INE510K01019,1.04,6.39,5.74,3.48,Beetal Financial & Computer Services (P) Limited,NaN,NaN,78,45.4,84.7,48.05,51820648,NaN,NaN,NaN,NaN,NaN,78.35,45.45,84.65,47.6,38498254,NaN,NaN,NaN,NaN,NaN
283,Muthoot Finance Ltd ,"Apr 18, 2011","Apr 21, 2011",10,160,175,40,"BSE, NSE","51,500,000 Eq Shares of ₹10 (aggregating up to ₹901.25 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, May 6, 2011",Friday,2011,533398,MUTHOOTFIN,B,INE414G01012,25.01,60.94,8.5,24.55,Link Intime India Private Ltd,NaN,NaN,196.6,161.4,198.9,175.9,60613615,NaN,NaN,NaN,NaN,NaN,180,161.5,198,176.25,22676312,NaN,NaN,NaN,NaN,NaN
284,Servalakshmi Paper Ltd ,"Apr 27, 2011","Apr 29, 2011",10,27,29,200,"BSE, NSE","20,689,655 Eq Shares of ₹10 (aggregating up to ₹60.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, May 12, 2011",Thursday,2011,533401,SERVALL,B,INE431L01016,0.34,4.21,1.9,1.47,Link Intime India Private Ltd,NaN,NaN,29,17.7,48.7,19.05,147017375,NaN,NaN,NaN,NaN,NaN,30,17.3,48.75,19,121857744,NaN,NaN,NaN,NaN,NaN
285,Paramount Printpackaging Ltd ,"Apr 20, 2011","Apr 25, 2011",10,32,35,150,"BSE, NSE","13,094,175 Eq Shares of ₹10 (aggregating up to ₹45.83 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, May 9, 2011",Monday,2011,533399,PARAPRINT,B,INE702L01010,0.33,3.28,9.31,3.92,Sharepro Services Private Limited,NaN,NaN,36.5,24.8,37.9,27.05,36769530,NaN,NaN,NaN,NaN,NaN,35,24.6,37.5,26.65,39339950,NaN,NaN,NaN,NaN,NaN
286,Innoventive Industries Ltd ,"Apr 26, 2011","Apr 29, 2011",10,117,120,50,"BSE, NSE","18,767,521 Eq Shares of ₹10 (aggregating up to ₹219.58 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, May 13, 2011",Friday,2011,533402,INNOIND,B,INE549I01011,0.85,1.94,1.48,1.24,KFintech Private Limited,NaN,NaN,111.95,86.25,114,94.05,32468337,NaN,NaN,NaN,NaN,NaN,110,86.3,114.85,93.6,27037744,NaN,NaN,NaN,NaN,NaN
287,Future Ventures India Ltd ,"Apr 25, 2011","Apr 28, 2011",10,10,11,600,"BSE, NSE","750,000,000 Eq Shares of ₹10 (aggregating up to ₹750.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, May 10, 2011",Tuesday,2011,533400,FCEL,B,INE220J01025,0.26,7.81,0.61,1.52,Link Intime India Private Ltd,NaN,NaN,9,7.9,9.65,8.2,174748460,NaN,NaN,NaN,NaN,NaN,9.5,7.95,9.5,8.3,76001345,NaN,NaN,NaN,NaN,NaN
288,Vaswani Industries Ltd ,"Apr 29, 2011","May 3, 2011",10,45,49,120,"BSE, NSE","23,490,700 Eq Shares of ₹10 (aggregating up to ₹49.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, September 20, 2011",Tuesday,2011,533576,VASWANI,B,INE590L01019,0.16,11.29,6.83,4.16,Link Intime India Private Ltd,NaN,NaN,33.7,14,33.7,18.4,35788647,NaN,NaN,NaN,NaN,NaN,33.45,13,35.4,17.75,23446414,NaN,NaN,NaN,NaN,NaN
289,Power Finance Corporation Ltd FPO (Power Finance FPO) Detail,"May 10, 2011","May 13, 2011",10,193,203,28,"BSE, NSE","229,553,340 Eq Shares of ₹10 (aggregating up to ₹4,578.20 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, May 27, 2011",Friday,2011,532810,PFC,A,INE134E01011,6.92,1.2,2,4.34,KFintech Private Limited,NaN,NaN,196,191.5,200.7,199.5,34397028,NaN,NaN,NaN,NaN,NaN,197.6,191.4,200.7,199.45,10859061,NaN,NaN,NaN,NaN,NaN
290,Sanghvi Forging & Engineering Ltd ,"May 4, 2011","May 9, 2011",10,80,85,70,"BSE, NSE","4,341,195 Eq Shares of ₹10 (aggregating up to ₹36.90 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, May 23, 2011",Monday,2011,533411,SANGHVIFOR,B,INE263L01013,0,1.82,2.93,1.3,Bigshare Services Pvt Ltd,NaN,NaN,88,86.5,116.8,112,42730487,NaN,NaN,NaN,NaN,NaN,85,85,116.5,111.75,35077421,NaN,NaN,NaN,NaN,NaN
291,Aanjaneya Lifecare Ltd ,"May 9, 2011","May 12, 2011",10,228,240,25,"BSE, NSE","5,000,000 Eq Shares of ₹10 (aggregating up to ₹117.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, May 27, 2011",Friday,2011,533412,AANJANEYA,B,INE928K01013,0.14,2.65,1.84,1.11,Link Intime India Private Ltd,NaN,NaN,218,218,324,311.1,29063465,NaN,NaN,NaN,NaN,NaN,229.45,224,324,311.25,23571707,NaN,NaN,NaN,NaN,NaN
292,Timbor Home Limited ,"May 30, 2011","Jun 2, 2011",10,54,63,100,"BSE, NSE","3,690,000 Eq Shares of ₹10 (aggregating up to ₹23.25 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, June 22, 2011",Wednesday,2011,533444,TIMBOR,B,INE346L01016,0.65,3.22,14.22,5.78,Purva Sharegistry India Pvt Ltd,NaN,NaN,72,72,99,91.55,43714948,NaN,NaN,NaN,NaN,NaN,72,72,94.5,91.2,35380925,NaN,NaN,NaN,NaN,NaN
293,VMS Industries Ltd ,"May 30, 2011","Jun 2, 2011",10,36,40,160,BSE,"6,437,500 Eq Shares of ₹10 (aggregating up to ₹25.75 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, June 14, 2011",Tuesday,2011,533427,NaN,B,INE932K01015,0,1.11,3.41,1.36,Cameo Corporate Services Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.95,24,49.25,28.5,38524623,NaN,NaN,NaN,NaN,NaN
294,Birla Pacific Medspa Ltd ,"Jun 20, 2011","Jun 23, 2011",10,10,11,500,BSE,"65,175,000 Eq Shares of ₹10 (aggregating up to ₹65.18 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, July 7, 2011",Thursday,2011,533469,NaN,B,INE341L01017,1.04,0.17,1.82,1.18,Adroit Corporate Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.1,10.1,30.7,25.35,134959047,NaN,NaN,NaN,NaN,NaN
295,Rushil Decor Ltd ,"Jun 20, 2011","Jun 23, 2011",10,63,72,90,"BSE, NSE","5,643,750 Eq Shares of ₹10 (aggregating up to ₹40.64 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, July 7, 2011",Thursday,2011,533470,RUSHIL,B,INE573K01017,0.23,1.35,6.57,2.62,Bigshare Services Pvt Ltd,NaN,NaN,74.5,74.5,124.05,119.5,49610018,NaN,NaN,NaN,NaN,NaN,81.25,75,124.05,119.65,37135869,NaN,NaN,NaN,NaN,NaN
296,Readymade Steel India Ltd ,"Jun 27, 2011","Jun 29, 2011",10,90,108,60,BSE,"3,217,157 Eq Shares of ₹10 (aggregating up to ₹34.75 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, July 13, 2011",Wednesday,2011,533482,KRIDHANINF,B,INE524L01026,0.03,1.37,4.18,1.68,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,115,62.3,117.75,66.45,33979906,NaN,NaN,NaN,NaN,NaN
297,Bharatiya Global Infomedia Ltd ,"Jul 11, 2011","Jul 14, 2011",10,75,82,75,"BSE, NSE","6,720,000 Eq Shares of ₹10 (aggregating up to ₹55.10 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, July 28, 2011",Thursday,2011,533499,BGLOBAL,B,INE224M01013,0,1.94,5.06,2.06,KFintech Private Limited,NaN,NaN,81.9,26.1,83,29.9,47578807,NaN,NaN,NaN,NaN,NaN,84,27.15,84,30.95,40722694,NaN,NaN,NaN,NaN,NaN
298,L&T Finance Holdings Limited ,"Jul 27, 2011","Jul 29, 2011",10,51,59,100,"BSE, NSE","[.] Eq Shares of ₹10 (aggregating up to ₹1,245.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, August 12, 2011",Friday,2011,533519,L&TFH,B,INE498L01015,1.93,6.18,9.61,5.34,Sharepro Services Private Limited,NaN,NaN,53.85,49.3,53.85,50.05,98188151,NaN,NaN,NaN,NaN,NaN,51,49.5,52.5,49.95,44321154,NaN,NaN,NaN,NaN,NaN
299,Inventure Growth & Securities Ltd ,"Jul 20, 2011","Jul 22, 2011",10,100,117,50,"BSE, NSE","7,000,000 Eq Shares of ₹10 (aggregating up to ₹81.90 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, August 4, 2011",Thursday,2011,533506,INVENTURE,B,INE878H01016,0.25,9.49,8.66,4.58,Link Intime India Private Ltd,NaN,NaN,117,91.2,225,206.75,58767922,NaN,NaN,NaN,NaN,NaN,119,91.55,225,207.95,47065360,NaN,NaN,NaN,NaN,NaN
300,SRS Limited ,"Aug 23, 2011","Aug 26, 2011",10,58,65,100,"BSE, NSE","35,000,000 Eq Shares of ₹10 (aggregating up to ₹203.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, September 16, 2011",Friday,2011,533569,SRSLTD,B,INE219H01039,0.75,5.11,0.32,1.25,Beetal Financial & Computer Services (P) Limited,NaN,NaN,68,31.5,68,33.25,56691927,NaN,NaN,NaN,NaN,NaN,55,31.8,61.4,33.65,33244319,NaN,NaN,NaN,NaN,NaN
301,Tree House Education & Accessories Ltd ,"Aug 10, 2011","Aug 12, 2011",10,135,153,40,"BSE, NSE","8,432,189 Eq Shares of ₹10 (aggregating up to ₹113.83 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, August 26, 2011",Friday,2011,533540,TREEHOUSE,B,INE040M01013,1.02,1.68,2.76,1.85,Link Intime India Private Ltd,NaN,NaN,132,105.15,161.5,117.6,29345647,NaN,NaN,NaN,NaN,NaN,132.8,104.15,161.5,116.55,20166330,NaN,NaN,NaN,NaN,NaN
