Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
793,Marvel Decor Limited ,"Mar 12, 2018","Mar 15, 2018",10,57,57,2000,NSE SME,"4,616,000 Eq Shares of ₹10 (aggregating up to ₹26.26 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, March 23, 2018",Friday,2018,NaN,MDL,NaN,INE575Z01010,NaN,2.03,0.8,1.54,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.75,51,59,57.85,682000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
794,Hindustan Aeronautics Limited ,"Mar 16, 2018","Mar 20, 2018",10,1215,1240,12,"BSE, NSE","34,107,525 Eq Shares of ₹10 (aggregating up to ₹4,144.06 Cr)",NaN,"34,107,525 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","Mar 26, 2018","Mar 27, 2018","Mar 27, 2018","Wednesday, March 28, 2018",Wednesday,2018,541154,HAL,B,INE066F01012,1.73,0.03,0.39,0.99,KFintech Private Limited,NaN,NaN,"1,152.00","1,121.00","1,184.95","1,132.85",1692143,NaN,NaN,NaN,NaN,NaN,"1,169.00","1,117.60","1,184.00","1,128.35",216641,NaN,NaN,NaN,NaN,NaN
795,Karda Construction Ltd ,"Mar 16, 2018","Mar 21, 2018",10,175,180,80,"BSE, NSE","4,300,000 Eq Shares of ₹10 (aggregating up to ₹77.40 Cr)",NaN,NaN,"Mar 26, 2018","Mar 27, 2018","Mar 28, 2018","Monday, April 2, 2018",Monday,2018,541161,KARDA,NaN,INE278R01018,1.55,3.44,2.01,2.53,Bigshare Services Pvt Ltd,NaN,NaN,136,129.2,142.8,142.8,1034837,NaN,NaN,NaN,NaN,NaN,136,136,142.8,142.8,254041,NaN,NaN,NaN,NaN,NaN
796,Advitiya Trade India Limited ,"Mar 14, 2018","Mar 16, 2018",10,15,15,8000,BSE SME,"2,872,000 Eq Shares of ₹10 (aggregating up to ₹4.31 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, March 26, 2018",Monday,2018,541152,NaN,M,INE705X01018,NaN,1.95,0.25,1.1,Skyline Financial Services Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.01,15.01,15.76,15.76,120000
797,Sandhar Technologies Limited ,"Mar 19, 2018","Mar 21, 2018",10,327,332,45,"BSE, NSE",[.] Eq Shares of ₹10 (aggregating up to ₹565.60 Cr),[.] Eq Shares of ₹10 (aggregating up to ₹300.00 Cr),"8,000,000 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)",NaN,NaN,NaN,"Monday, April 2, 2018",Monday,2018,541163,SANDHAR,NaN,INE278H01035,14.5,6.39,1.31,6.14,Link Intime India Private Ltd,NaN,NaN,346.1,318.25,351.75,322.15,9834709,NaN,NaN,NaN,NaN,NaN,345,318.55,351.45,322.55,1316314,NaN,NaN,NaN,NaN,NaN
798,Mishra Dhatu Nigam Limited ,"Mar 21, 2018","Mar 23, 2018",10,87,90,150,"BSE, NSE","48,708,400 Eq Shares of ₹10 (aggregating up to ₹438.38 Cr)",NaN,"48,708,400 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","Mar 28, 2018","Apr 2, 2018","Apr 3, 2018","Wednesday, April 4, 2018",Wednesday,2018,541195,MIDHANI,B,INE099Z01011,1.96,0.13,0.72,1.21,Alankit Assignments Ltd,NaN,NaN,87,86.05,91,90.05,16767810,NaN,NaN,NaN,NaN,NaN,87,86.35,90.9,90,2447624,NaN,NaN,NaN,NaN,NaN
799,Ridings Consulting Engineers India Ltd ,"Mar 14, 2018","Mar 16, 2018",10,18,18,8000,BSE SME,"3,640,000 Eq Shares of ₹10 (aggregating up to ₹6.22 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, March 26, 2018",Monday,2018,541151,NaN,M,INE314Z01014,NaN,0.81,1.83,1.32,Skyline Financial Services Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5,18,18.5,18,2440000
800,Uravi T and Wedge Lamps Ltd ,"Mar 16, 2018","Mar 20, 2018",10,100,100,1200,NSE SME,"1,500,000 Eq Shares of ₹10 (aggregating up to ₹15.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, March 28, 2018",Wednesday,2018,NaN,URAVI,NaN,INE568Z01015,NaN,1.37,0.98,1.2,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.25,101.25,102.25,102.25,49200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
801,Kapston Facilities Management Ltd ,"Mar 21, 2018","Mar 23, 2018",10,92,92,1200,NSE SME,"2,304,000 Eq Shares of ₹10 (aggregating up to ₹21.20 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, April 4, 2018",Wednesday,2018,NaN,KAPSTON,NaN,INE542Z01010,NaN,1.07,1.31,1.19,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.5,92.1,93,92.55,141600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
802,ICICI Securities Ltd ,"Mar 22, 2018","Mar 26, 2018",5,519,520,28,"BSE, NSE","77,249,508 Eq Shares of ₹5 (aggregating up to ₹4,016.97 Cr)",NaN,NaN,"Apr 2, 2018","Apr 3, 2018","Apr 4, 2018","Wednesday, April 4, 2018",Wednesday,2018,541179,ISEC,B,INE763G01038,1.04,0.36,0.89,0.78,KFintech Private Limited,NaN,NaN,435,435,463,445.1,7417211,NaN,NaN,NaN,NaN,NaN,431.1,431.1,462.7,445.05,1315944,NaN,NaN,NaN,NaN,NaN
